127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.002269
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001706
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001576
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.003164
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.032203
127.0.0.1, 2013-10-17 18:28:07, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000425
127.0.0.1, 2013-10-17 18:28:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.139580
127.0.0.1, 2013-10-17 18:28:51, GET, /admin/default/design/QuizMe, HTTP/1.1, 200, 0.087771
127.0.0.1, 2013-10-17 18:28:58, GET, /admin/default/peek/QuizMe/controllers/quizzes.py, HTTP/1.1, 200, 0.033714
127.0.0.1, 2013-10-17 18:29:00, GET, /admin/default/edit/QuizMe/controllers/quizzes.py, HTTP/1.1, 200, 0.040508
127.0.0.1, 2013-10-17 18:29:00, GET, /admin/default/edit/QuizMe/controllers/quizzes.py, HTTP/1.1, 200, 0.030259
127.0.0.1, 2013-10-17 18:29:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.008965
127.0.0.1, 2013-10-17 18:29:12, POST, /admin/default/edit/QuizMe/controllers/quizzes.py, HTTP/1.1, 200, 0.028326
127.0.0.1, 2013-10-17 18:29:45, GET, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.023243
127.0.0.1, 2013-10-17 18:29:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.008248
127.0.0.1, 2013-10-17 18:29:54, POST, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.027304
127.0.0.1, 2013-10-17 18:30:41, POST, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.024811
127.0.0.1, 2013-10-17 18:32:21, POST, /admin/default/edit/QuizMe/controllers/quizzes.py, HTTP/1.1, 200, 0.031900
127.0.0.1, 2013-10-17 18:32:26, GET, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.026880
127.0.0.1, 2013-10-17 18:32:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.011991
127.0.0.1, 2013-10-17 18:33:20, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.021438
127.0.0.1, 2013-10-17 18:33:23, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.025541
127.0.0.1, 2013-10-17 18:35:37, POST, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.022930
127.0.0.1, 2013-10-17 18:36:04, POST, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.030646
127.0.0.1, 2013-10-17 18:36:15, POST, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.020828
127.0.0.1, 2013-10-17 18:36:36, POST, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.027124
127.0.0.1, 2013-10-17 18:37:35, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.033985
127.0.0.1, 2013-10-17 18:37:59, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.036870
127.0.0.1, 2013-10-17 18:40:20, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.021011
127.0.0.1, 2013-10-17 18:40:35, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.028932
127.0.0.1, 2013-10-17 18:40:44, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.024932
127.0.0.1, 2013-10-17 18:40:55, POST, /admin/default/edit/QuizMe/views/quizzes/show.html, HTTP/1.1, 200, 0.020742
